
0.0004s - [INFO ] Log file active at [_logs/2024-11-06-build.log]
0.0005s - [INFO ] Executing command [BUILD] on [2024-11-06] at [18:28:09]
0.0005s - [INFO ] Starting static website build
0.0033s - [INFO ]   Loading theme [lumen]
0.0043s - [INFO ]     Theme successfull loaded
0.0098s - [INFO ]   Loading content type [pages]
0.0208s - [INFO ]   Loading content type [posts]
0.5582s - [INFO ]   Processing plugins for [pages]
0.5582s - [INFO ]     Executing plugin [image]
0.7201s - [INFO ]     Executing plugin [seo]
0.7201s - [INFO ]     Executing plugin [wordpress]
0.7216s - [INFO ]   Processing plugins for [posts]
0.7216s - [INFO ]     Executing plugin [image]
0.7613s - [WARN ]       Corrupted image file [/assets/posts/2006/goodbye-summer-hello-autumn-1.jpg]
0.8427s - [WARN ]       Corrupted image file [/assets/posts/2007/transformers-the-movie-almost-here-1.jpg]
0.9120s - [WARN ]       Corrupted image file [/assets/posts/2007/say-it-aint-so-devon-1.jpg]
0.9166s - [WARN ]       Corrupted image file [/assets/posts/2007/heroes-season-two-finale-2.jpg]
0.9851s - [WARN ]       Corrupted image file [/assets/posts/2008/microsoft-extends-44-billion-dollar-offer-for-yahoo-1.PNG]
1.0582s - [WARN ]       Corrupted image file [/assets/posts/2008/entry-11-northern-lights-in-vancouver-2.jpg]
1.0636s - [WARN ]       Corrupted image file [/assets/posts/2008/entry-16-baby-penguins-washing-up-on-distant-shores-1.jpg]
1.0741s - [WARN ]       Corrupted image file [/assets/posts/2008/entry-29-missouri-community-embraces-the-wind-1.]
1.1504s - [WARN ]       Corrupted image file [/assets/posts/2009/heroes-24-lost-1.jpg]
1.2512s - [WARN ]       Corrupted image file [/assets/posts/2009/space-weather-and-the-northern-lights-1.jpg]
1.2614s - [WARN ]       Corrupted image file [/assets/posts/2009/out-with-the-old-in-with-the-new-1.]
2.4660s - [INFO ]     Executing plugin [seo]
2.4661s - [INFO ]     Executing plugin [wordpress]
2.4769s - [INFO ]   Generating single content pages for [pages]
2.4849s - [INFO ]   Generating single content pages for [posts]
2.8149s - [INFO ]   Generating index & paginated content for [posts]
2.8857s - [INFO ]   Generating home content for [posts]
2.9560s - [INFO ]   Generating taxonomy pages for [posts]
3.6827s - [INFO ]   Writing [robots.txt]
3.7167s - [INFO ]   Writing [sitemap.xml]
3.7168s - [INFO ] Total entries processed [2117], HTML pages generated [5414]
3.7168s - [INFO ] Your website is now ready to view. You can run 'php crossroads serve' to view it.
3.7168s - [INFO ] Finished executing [BUILD] command, total time taken 3.716s
